ACC_X,ACC_Y,ACC_Z,GIR_X,GIR_Y,GIR_Z
0.0,0.0,0.0,0.0,0.0,0.0
-0.16,-0.02,0.21,-41.02,170.04,2.08
-0.04,-0.07,0.12,-25.63,163.45,-0.55
0.02,-0.1,0.05,-23.86,161.38,0.12
0.13,-0.14,-0.12,-20.2,149.29,2.56
0.18,-0.14,-0.22,-24.48,128.05,6.29
0.27,-0.11,-0.29,-26.37,117.37,7.39
0.39,-0.04,-0.33,-25.15,89.54,7.51
0.45,-0.0,-0.36,-22.83,78.25,6.16
0.55,-0.0,-0.48,-18.19,59.69,-1.95
0.59,-0.01,-0.56,-8.3,35.46,-7.2
0.68,-0.03,-0.6,-8.67,24.54,-8.67
0.73,0.06,-0.72,-6.16,4.64,-4.94
0.78,0.08,-0.72,2.14,-9.58,-5.8
0.81,0.07,-0.69,17.4,-34.97,-8.61
0.85,0.09,-0.63,24.48,-44.13,-9.83
0.82,0.1,-0.62,21.97,-46.45,-12.02
0.73,0.06,-0.61,24.29,-55.54,-17.88
0.66,-0.02,-0.58,29.54,-63.84,-22.34
0.57,-0.29,-0.52,31.62,-84.17,-26.43
0.51,-0.3,-0.45,32.71,-107.73,0.43
0.38,-0.19,-0.3,38.57,-117.43,11.9
0.26,-0.13,-0.21,47.18,-133.67,24.17
0.17,-0.09,-0.14,51.7,-143.43,25.33
-0.02,-0.21,-0.06,54.63,-161.5,12.82
-0.1,-0.31,-0.03,47.3,-181.76,4.46
-0.22,-0.35,0.13,44.92,-193.36,9.7
-0.42,-0.15,0.33,54.63,-207.03,24.66
-0.52,-0.16,0.4,58.96,-210.63,22.34
-0.69,-0.29,0.5,49.68,-219.91,10.5
-0.77,-0.31,0.52,40.41,-228.94,10.86
-0.96,-0.32,0.77,49.56,-236.63,11.29
-1.0,-0.3,1.01,58.17,-226.75,21.73
-0.97,-0.25,1.03,53.71,-211.06,29.97
-0.91,-0.03,1.0,57.31,-185.61,39.12
-0.92,-0.01,1.01,81.97,-175.48,24.11
-0.99,-0.22,1.1,92.04,-175.54,14.4
-1.14,-0.31,1.35,88.68,-173.52,16.11
-1.18,-0.24,1.44,81.42,-169.31,17.64
-1.12,-0.41,1.61,69.58,-173.1,-5.25
-1.09,-0.58,1.68,34.85,-166.02,-14.59
-1.12,-0.64,1.85,23.5,-164.55,-9.64
-1.12,-0.5,2.21,10.68,-156.19,2.2
-1.07,-0.36,2.33,10.86,-143.49,8.91
-1.07,-0.36,2.48,19.96,-119.45,-3.66
-1.06,-0.53,2.53,41.26,-94.06,-17.4
-1.09,-0.74,2.64,46.26,-79.71,-12.45
-1.16,-0.72,2.82,38.33,-51.21,1.1
-1.18,-0.7,2.84,23.56,-32.53,3.11
-1.15,-0.66,2.75,-7.51,9.95,-0.55
-1.14,-0.69,2.67,-16.91,43.64,-4.27
-1.17,-0.64,2.61,-26.25,57.13,-2.81
-1.22,-0.5,2.45,-42.79,94.85,-2.08
-1.22,-0.41,2.34,-47.06,112.24,-3.05
-1.2,-0.41,2.11,-37.11,140.56,-10.31
-1.18,-0.46,1.99,-26.37,164.55,-13.24
-1.12,-0.54,1.74,-10.62,175.78,-12.15
-1.08,-0.6,1.52,-9.89,193.12,-6.47
-1.06,-0.6,1.42,-14.47,199.65,-2.5
-1.0,-0.61,1.24,-32.47,211.12,2.56
-0.98,-0.57,1.15,-40.53,218.08,6.1
-0.92,-0.51,1.02,-52.61,219.24,6.35
-0.86,-0.5,0.97,-58.59,220.7,7.57
-0.85,-0.51,0.97,-53.83,221.13,10.25
-0.8,-0.5,0.86,-54.57,232.3,18.98
-0.76,-0.44,0.77,-55.73,239.44,27.83
-0.7,-0.39,0.62,-45.65,239.87,29.48
-0.62,-0.39,0.46,-49.68,233.95,29.11
-0.55,-0.38,0.41,-57.01,227.78,27.53
-0.43,-0.29,0.34,-66.16,213.01,24.66
-0.39,-0.24,0.29,-65.67,207.82,25.45
-0.26,-0.13,0.14,-58.41,199.34,26.06
-0.13,-0.1,0.02,-49.87,184.27,23.19
-0.06,-0.09,-0.08,-44.49,176.33,22.09
0.08,-0.06,-0.27,-36.44,150.09,20.57
0.15,-0.05,-0.32,-36.56,132.32,16.66
0.3,-0.03,-0.4,-44.19,102.17,15.14
0.46,0.01,-0.62,-38.7,81.3,13.79
0.57,0.03,-0.76,-30.58,67.14,12.63
0.72,0.01,-0.88,-17.03,15.38,14.95
0.74,0.08,-0.8,-11.66,-17.64,40.04
0.8,0.26,-0.54,9.03,-55.11,44.62
0.78,0.28,-0.53,26.31,-40.34,27.53
0.75,0.25,-0.54,25.33,-34.12,11.05
0.66,0.16,-0.47,13.37,-37.54,-14.22
0.63,0.17,-0.43,9.83,-41.56,-18.37
0.6,0.12,-0.38,13.43,-53.1,-22.52
0.56,0.17,-0.22,15.5,-62.68,-18.43
0.52,0.17,-0.18,15.2,-61.28,-19.96
0.46,0.1,-0.19,9.46,-56.34,-28.32
0.41,0.05,-0.18,5.86,-58.65,-29.54
0.33,-0.06,-0.16,6.29,-69.82,-19.41
0.27,-0.1,-0.12,13.98,-89.6,-1.71
0.24,-0.09,-0.06,19.17,-101.5,6.16
0.17,-0.03,0.1,36.19,-116.7,16.17
0.12,-0.04,0.18,47.06,-121.34,16.36
0.02,-0.1,0.32,60.0,-125.12,12.39
-0.07,-0.32,0.43,52.86,-122.56,6.1
-0.13,-0.39,0.53,49.87,-120.06,9.58
-0.17,-0.34,0.66,56.21,-107.54,30.7
-0.2,-0.28,0.72,65.31,-99.37,40.77
-0.29,-0.23,0.75,84.47,-81.91,53.89
-0.42,-0.19,0.8,105.71,-78.61,56.46
-0.47,-0.23,0.85,112.61,-83.68,48.77
-0.46,-0.38,0.86,101.2,-93.08,31.86
-0.45,-0.41,0.88,90.03,-100.89,28.08
-0.48,-0.33,1.03,85.14,-124.45,29.48
-0.53,-0.43,1.35,85.94,-145.94,19.35
-0.53,-0.48,1.48,81.6,-146.12,16.54
-0.49,-0.53,1.58,63.54,-127.87,12.57
