ACC_X,ACC_Y,ACC_Z,GIR_X,GIR_Y,GIR_Z
0.0,0.0,0.0,0.0,0.0,0.0
-0.18,0.82,0.56,-21.73,74.95,-108.7
-0.19,0.84,0.58,-28.93,64.94,-111.69
-0.2,0.76,0.52,-47.3,45.29,-118.71
-0.18,0.69,0.53,-56.88,17.88,-121.03
-0.15,0.77,0.58,-61.4,20.14,-119.69
-0.15,0.77,0.46,-61.04,21.18,-129.7
-0.19,0.71,0.43,-60.91,20.08,-138.49
-0.22,0.63,0.34,-39.18,20.94,-151.86
-0.22,0.54,0.32,-52.37,15.93,-175.72
-0.3,0.31,0.31,-62.56,-1.59,-181.64
-0.28,0.28,0.25,-57.07,-14.95,-180.3
-0.29,0.21,0.23,-65.37,-22.52,-182.13
-0.31,0.06,0.17,-86.61,-31.13,-184.33
-0.32,0.06,0.09,-84.29,-32.1,-182.25
-0.3,-0.02,-0.13,-66.71,-37.6,-189.15
-0.27,-0.67,-0.48,-20.2,-50.72,-219.54
-0.33,-1.12,-0.62,-11.96,-62.13,-224.3
-0.32,-1.67,-0.61,12.33,-109.56,-176.57
-0.27,-1.59,-0.39,34.18,-137.27,-64.64
-0.1,-0.81,-0.08,33.45,-166.75,-40.77
-0.02,-0.76,0.21,22.83,-182.92,-47.61
-0.04,-1.0,0.41,13.12,-189.39,-57.62
0.01,-1.34,0.79,-3.05,-184.08,-35.58
0.06,-1.24,0.87,-16.6,-168.52,-6.71
0.13,-0.84,0.83,-5.98,-134.4,43.03
0.11,-0.75,1.0,14.4,-131.29,51.39
0.1,-0.73,1.01,11.17,-123.84,50.66
-0.07,-0.68,0.92,-14.47,-103.64,52.19
-0.22,-0.56,0.85,-22.64,-99.98,62.19
-0.19,-0.17,0.71,10.8,-114.01,84.96
-0.06,0.24,1.01,48.22,-151.18,86.18
0.0,0.14,1.28,53.53,-168.95,63.66
0.19,-0.7,2.04,50.96,-185.73,9.46
0.19,-1.23,2.23,49.5,-169.8,6.41
0.08,-1.34,1.88,-24.17,-85.88,80.08
-0.1,-0.4,1.43,-46.63,-54.2,176.88
-0.11,-0.07,1.5,-47.73,-68.79,196.59
-0.14,0.12,1.57,-101.99,-74.89,192.26
-0.21,0.15,1.6,-133.73,-73.73,188.42
-0.27,0.15,1.82,-165.95,-74.95,191.71
-0.37,0.34,1.88,-156.98,-51.51,213.81
-0.43,0.63,1.85,-149.41,-36.56,227.66
-0.41,1.07,2.02,-140.01,-18.68,224.37
-0.4,1.13,2.11,-148.8,-8.0,207.7
-0.5,1.23,2.04,-178.96,29.91,169.56
-0.5,1.49,2.21,-147.28,52.06,137.51
-0.51,1.68,2.15,-123.47,78.98,113.83
-0.52,1.95,1.52,-74.16,137.88,44.31
-0.52,1.94,1.35,-63.17,144.71,2.2
-0.63,1.57,1.12,-82.89,143.8,-65.67
-0.63,1.65,0.89,-84.35,129.64,-59.75
-0.63,1.83,1.0,-86.0,110.17,-49.8
-0.57,2.35,1.19,-71.72,93.26,-54.57
-0.59,2.47,1.25,-67.57,96.44,-80.51
-0.56,2.49,1.28,-34.3,121.95,-158.26
-0.62,2.29,0.86,1.04,167.79,-238.46
-0.71,2.14,0.56,5.43,181.64,-271.0
-0.79,1.26,0.4,-19.04,166.14,-283.45
-0.65,1.3,0.3,-19.35,163.76,-240.17
-0.54,1.43,0.21,-45.17,129.15,-222.53
-0.57,1.28,0.32,-57.43,80.08,-250.43
-0.47,0.84,0.3,-64.94,70.56,-247.99
-0.41,0.77,0.1,-91.8,53.47,-222.96
-0.37,0.74,0.03,-97.47,35.46,-215.82
-0.33,0.55,-0.02,-88.13,2.44,-212.52
-0.33,0.46,-0.17,-74.4,-20.32,-215.64
-0.28,0.07,-0.27,-76.84,-33.94,-217.77
-0.21,-0.22,-0.12,-65.31,-70.07,-200.68
-0.13,-0.31,-0.04,-52.49,-72.75,-186.58
-0.0,-0.27,-0.1,-37.96,-60.97,-157.96
-0.01,-0.3,-0.19,-30.7,-65.25,-147.28
0.03,-0.62,-0.22,-36.68,-74.52,-144.71
0.09,-0.82,-0.07,-21.12,-87.4,-124.15
0.13,-0.76,0.05,-8.97,-83.01,-105.04
0.17,-0.78,0.31,27.65,-66.83,-72.33
0.13,-0.73,0.31,33.39,-30.03,-42.91
0.13,-0.71,0.26,41.08,-27.71,-34.06
0.05,-0.67,-0.47,-8.54,-179.93,-146.55
0.22,-2.01,2.19,163.51,-377.5,-299.8
-0.18,-0.3,0.37,-53.41,-102.17,-105.29
-0.04,-0.96,-0.15,-40.89,-170.17,-83.86
-0.05,-0.99,1.12,-52.37,-207.46,-13.0
-0.11,-0.24,0.88,-75.07,-98.88,109.62
-0.13,0.07,0.5,-74.89,-51.64,108.83
-0.09,0.17,0.76,-14.34,-90.27,34.0
-0.07,0.08,0.93,-26.79,-68.18,-41.26
-0.04,-0.51,0.88,-20.75,-62.99,-55.66
0.32,-1.5,1.02,-36.01,-47.61,-49.87
0.14,-1.22,1.12,-92.83,-35.46,-20.94
0.04,-0.78,1.06,-131.71,-44.8,78.25
0.12,-0.7,1.21,-284.3,-36.32,140.87
0.1,-0.71,1.36,-347.9,-12.57,168.03
0.18,0.34,1.31,-460.08,60.91,247.07
-0.2,0.56,1.31,-233.52,67.32,252.44
-0.01,0.61,1.31,185.67,27.34,221.07
0.08,0.84,1.43,21.97,77.51,211.36
0.22,0.98,1.34,34.12,102.48,183.29
0.05,0.06,0.68,-157.96,150.63,104.0
0.05,0.07,0.89,-327.7,120.36,138.98
-0.03,0.63,1.44,-207.4,57.74,234.92
-0.03,1.08,1.55,-184.51,85.82,275.33
-0.04,1.66,1.48,-224.0,122.86,253.23
-0.08,1.78,1.09,-351.14,201.05,182.8
-0.06,1.87,0.85,-381.23,231.57,156.56
-0.07,2.11,0.37,-306.76,256.1,122.25
-0.07,2.25,0.16,-242.61,241.39,77.7
-0.08,2.35,-0.21,-212.59,233.83,44.62
-0.11,2.26,-0.75,-162.17,222.9,-13.18
-0.12,2.22,-0.93,-153.56,204.77,-39.12
-0.16,2.07,-0.92,-82.21,123.29,-88.93
-0.19,1.97,-0.72,-66.16,74.71,-128.36
-0.23,1.8,-0.76,-40.34,82.15,-138.12
-0.27,1.73,-1.17,-11.47,86.91,-154.17
-0.29,1.71,-1.24,-0.98,67.08,-165.41
-0.31,1.76,-1.1,12.02,12.15,-190.92
-0.32,1.8,-0.99,20.08,-12.39,-233.28
-0.48,1.26,-0.93,25.88,-13.98,-266.3
-0.46,0.26,-1.24,18.92,-10.74,-287.17
-0.34,0.29,-1.33,10.07,-25.63,-240.54
