GIR_X,GIR_Y,GIR_Z
0.0,0.0,0.0
1.04,-1.59,0.85
3.48,0.61,1.28
2.81,4.7,3.23
-0.37,5.07,4.39
-3.42,4.46,4.46
-7.02,1.65,1.59
-5.0,1.1,-0.37
-1.4,2.69,-1.83
4.21,6.9,-2.99
3.66,9.09,-2.5
1.28,10.62,-1.04
-3.85,9.4,-0.79
-4.7,8.67,-0.85
-1.46,9.34,-1.28
0.18,10.31,-1.53
0.0,11.05,-1.59
-3.17,10.01,-1.1
-3.48,8.06,-0.92
-1.4,6.65,-1.04
6.77,4.64,-2.32
9.16,5.86,-2.93
5.43,8.24,-3.11
2.2,7.69,-3.23
-1.16,6.9,-3.72
-0.73,6.29,-4.33
1.89,5.92,-4.15
3.3,5.49,-3.97
1.95,4.52,-2.81
0.06,3.85,-2.5
-0.92,2.32,-2.81
-0.92,0.98,-2.99
-0.49,-0.43,-3.23
-5.68,-3.97,-1.16
-8.48,-6.71,0.85
-9.77,-10.8,2.99
-6.71,-19.59,7.26
-2.62,-23.62,9.7
1.16,-27.95,11.66
3.66,-37.6,15.87
1.59,-40.47,17.7
-5.86,-47.24,18.37
-7.39,-52.43,19.71
-9.77,-56.64,21.48
-13.61,-65.06,24.96
-11.29,-71.35,25.09
-9.46,-76.48,26.61
-5.68,-83.37,32.1
-3.3,-87.16,32.17
-2.38,-91.55,27.77
-2.56,-94.91,23.07
-4.88,-97.78,18.13
-14.28,-101.2,15.56
-18.8,-103.39,18.8
-24.6,-106.02,24.29
-37.96,-115.05,33.08
-41.81,-121.34,34.97
-39.98,-131.1,33.08
-17.58,-133.42,33.02
-3.91,-133.85,35.1
9.16,-134.03,42.79
8.67,-136.72,45.53
3.3,-137.21,46.88
-3.48,-139.89,36.07
-1.71,-143.55,30.88
4.21,-146.06,45.72
24.41,-141.85,33.87
29.05,-133.18,35.95
23.99,-116.21,34.79
17.09,-112.61,31.8
9.22,-112.18,28.75
3.6,-114.32,24.23
3.36,-113.65,23.68
2.14,-113.59,21.85
3.23,-108.7,22.77
7.81,-105.22,26.06
22.4,-93.08,25.82
23.68,-84.41,21.55
21.85,-80.02,17.03
6.71,-83.98,14.04
-3.48,-87.22,14.34
-8.36,-91.06,15.26
-2.81,-94.12,17.76
2.87,-92.1,16.91
7.39,-88.44,13.31
7.93,-81.3,11.35
2.5,-80.2,12.21
-12.7,-82.03,13.37
-15.2,-88.56,14.22
-14.95,-94.12,15.5
-5.74,-94.24,16.05
3.85,-94.12,18.13
9.7,-93.44,21.48
9.16,-92.59,26.86
5.55,-93.44,27.1
2.32,-96.86,24.6
2.44,-98.27,26.18
1.95,-98.75,27.71
1.95,-92.65,24.72
-1.83,-90.39,22.64
-6.53,-89.9,19.23
-9.34,-93.44,15.38
-7.75,-97.66,20.45
-2.81,-101.38,32.71
0.31,-100.1,32.96
2.87,-96.31,28.99
5.25,-88.56,17.27
5.55,-87.71,13.92
5.19,-87.95,13.85
-1.65,-90.64,19.29
-9.09,-93.14,24.05
-15.5,-95.15,26.73
-14.04,-93.14,23.25
-8.42,-87.22,19.84
4.94,-74.16,16.85
8.24,-70.37,18.07
5.98,-68.54,19.35
0.73,-68.97,17.64
-4.03,-67.5,14.04
-8.0,-64.21,10.56
-19.78,-59.63,5.8
-22.16,-54.81,2.87
-19.96,-41.81,4.03
-19.17,-37.48,8.24
-17.33,-36.01,10.13
-10.31,-40.95,9.34
-8.91,-41.87,4.88
-6.65,-39.31,-1.53
-11.6,-32.17,-5.31
-18.25,-32.65,-1.1
-22.77,-43.09,8.97
-18.55,-46.51,9.58
-10.01,-47.73,7.39
4.52,-44.37,-0.24
10.31,-41.63,-2.32
14.83,-36.13,-4.21
