GIR_X,GIR_Y,GIR_Z
0.0,0.0,0.0
0.85,-0.37,0.49
0.98,-0.31,0.55
0.79,-0.37,0.49
0.67,-0.37,0.55
0.61,-0.31,0.49
0.85,-0.31,0.49
0.79,-0.18,0.55
0.85,-0.12,0.37
0.79,-0.18,0.49
0.79,-0.37,0.55
0.55,-0.43,0.49
0.67,-0.43,0.49
0.79,-0.37,0.55
0.79,-0.18,0.43
0.73,-0.12,0.49
0.73,-0.12,0.55
0.92,-0.31,0.55
0.85,-0.43,0.55
0.85,-0.49,0.43
0.73,-0.24,0.61
0.67,-0.24,0.55
0.61,-0.37,0.55
0.92,-0.49,0.55
1.04,-0.24,0.55
0.79,-0.18,0.55
0.98,-0.37,0.55
0.67,-0.43,0.43
0.73,-0.31,0.55
0.79,-0.49,0.49
0.67,-0.37,0.37
0.92,-0.49,0.61
0.85,-0.31,0.61
0.73,-0.12,0.49
0.79,-0.49,0.49
0.73,-0.43,0.37
0.79,-0.31,0.37
0.79,-0.43,0.49
0.67,-0.24,0.61
0.85,-0.31,0.49
0.85,-0.31,0.55
0.85,-0.31,0.43
0.73,-0.24,0.49
0.67,-0.18,0.37
0.73,-0.18,0.61
0.79,-0.31,0.55
0.98,-0.37,0.55
0.85,-0.43,0.31
0.79,-0.31,0.49
0.67,-0.24,0.43
0.85,-0.31,0.67
0.85,-0.24,0.49
0.92,-0.31,0.43
0.85,-0.43,0.49
0.61,-0.43,0.55
0.73,-0.37,0.49
0.85,-0.31,0.61
0.85,-0.24,0.55
0.73,-0.18,0.49
0.79,-0.24,0.49
0.67,-0.37,0.55
0.79,-0.31,0.49
0.79,-0.24,0.43
0.85,-0.31,0.61
0.79,-0.18,0.55
0.79,-0.18,0.55
0.61,-0.24,0.49
0.67,-0.37,0.43
0.67,-0.24,0.49
0.85,-0.37,0.49
0.73,-0.31,0.61
0.79,-0.24,0.49
0.73,-0.31,0.43
0.67,-0.37,0.43
0.85,-0.31,0.31
0.73,-0.18,0.37
0.61,-0.37,0.55
0.61,-0.18,0.49
0.73,-0.31,0.49
0.67,-0.31,0.55
0.67,-0.49,0.61
0.67,-0.43,0.49
0.85,-0.31,0.49
0.85,-0.37,0.55
0.67,-0.24,0.49
0.61,-0.18,0.61
0.67,-0.24,0.61
0.73,-0.43,0.49
0.79,-0.43,0.37
0.73,-0.31,0.49
0.61,-0.43,0.49
0.49,-0.37,0.55
0.61,-0.37,0.55
0.73,-0.31,0.43
0.37,-0.37,0.55
0.85,-0.37,0.43
0.98,-0.49,0.37
1.04,-0.37,0.43
0.73,-0.37,0.31
0.67,-0.31,0.43
0.61,-0.24,0.37
0.43,-0.37,0.49
0.61,-0.43,0.43
0.85,-0.37,0.37
0.85,-0.37,0.43
0.85,-0.24,0.49
0.49,-0.06,0.37
0.73,-0.12,0.37
0.79,-0.24,0.49
0.43,-0.37,0.43
0.67,-0.18,0.49
0.92,-0.31,0.49
0.98,-0.49,0.49
1.04,-0.49,0.49
0.61,-0.37,0.49
0.61,-0.31,0.55
0.61,-0.06,0.55
1.04,-0.55,0.43
0.61,-0.37,0.55
0.31,-0.12,0.43
1.22,-0.31,0.49
0.92,-0.37,0.55
0.55,-0.18,0.67
0.92,-0.31,0.37
1.04,-0.18,0.37
0.55,-0.12,0.55
0.55,-0.31,0.49
0.85,-0.43,0.49
0.98,-0.18,0.61
0.92,-0.24,0.67
0.79,-0.12,0.43
0.73,-0.24,0.55
0.73,-0.31,0.55
0.79,-0.37,0.43
0.92,-0.37,0.31
0.73,-0.18,0.67
0.43,-0.18,0.49
1.04,-0.37,0.43
1.34,-0.49,0.49
0.37,-0.43,0.37
0.67,-0.43,0.49
0.37,-0.18,0.37
0.49,-0.31,0.37
0.79,-0.18,0.61
0.85,-0.31,0.43
0.85,-0.37,0.43
0.79,-0.43,0.55
0.61,-0.43,0.37
0.73,-0.43,0.61
0.85,-0.37,0.37
0.85,-0.37,0.37
0.98,-0.49,0.61
0.49,-0.43,0.37
0.73,-0.37,0.49
0.79,-0.37,0.61
0.67,-0.37,0.43
0.67,-0.55,0.49
0.79,-0.37,0.37
0.61,-0.31,0.49
0.73,-0.37,0.55
0.79,-0.49,0.55
0.79,-0.37,0.49
0.79,-0.31,0.49
0.49,-0.18,0.55
0.73,-0.12,0.43
0.73,-0.18,0.49
0.79,-0.18,0.49
0.79,-0.24,0.49
0.73,-0.31,0.43
0.67,-0.31,0.31
0.73,-0.37,0.43
0.67,-0.31,0.49
0.85,-0.24,0.61
0.79,-0.24,0.55
0.67,-0.31,0.43
0.73,-0.24,0.43
0.55,-0.18,0.55
0.61,-0.31,0.55
0.85,-0.31,0.61
0.55,-0.37,0.73
0.85,-0.24,0.67
0.92,-0.18,0.49
0.79,-0.18,0.55
0.85,-0.24,0.55
0.67,-0.31,0.61
0.85,-0.12,0.67
0.79,-0.24,0.55
0.43,-0.43,0.43
0.67,-0.31,0.55
0.67,-0.24,0.55
0.61,-0.31,0.43
0.79,-0.18,0.49
0.73,-0.31,0.49
0.73,-0.37,0.43
0.73,-0.31,0.31
0.79,-0.24,0.55
0.73,-0.31,0.61
0.85,-0.31,0.55
