GIR_X,GIR_Y,GIR_Z
0.0,0.0,0.0
5.25,-8.97,4.46
7.08,-5.49,5.07
7.87,-4.88,3.78
5.43,-4.94,2.14
-0.18,-5.98,-0.49
-0.98,-6.35,-0.92
-0.49,-4.88,-0.49
3.3,1.16,3.23
5.43,4.03,5.07
6.77,4.7,5.8
4.76,1.22,4.03
1.46,-1.71,2.99
-3.48,-4.58,1.4
-3.91,-5.19,0.61
-4.82,-4.33,0.0
-4.58,-2.62,-0.37
-1.77,-2.2,-1.04
0.92,-0.24,-0.18
13.06,2.75,2.56
19.35,4.03,3.42
20.81,2.5,0.85
14.95,-0.31,-1.71
7.08,-2.56,-4.33
2.26,-1.95,-8.42
6.96,2.14,-7.26
14.89,9.03,-5.74
28.02,18.92,-8.97
26.86,19.53,-11.66
15.99,9.34,-19.59
-13.79,-0.49,-25.15
-17.7,-9.83,-29.72
-6.65,-18.25,-37.84
4.27,-17.58,-41.56
15.81,-15.01,-44.13
30.94,-10.68,-47.3
32.04,-11.23,-49.5
28.99,-12.94,-53.59
16.54,-14.89,-65.86
11.72,-14.28,-72.57
12.39,-12.33,-82.4
17.21,-11.66,-85.21
23.25,-12.57,-86.79
30.27,-10.13,-89.84
33.33,-9.28,-89.97
36.93,-9.28,-90.27
38.27,-14.04,-89.48
33.39,-17.64,-90.33
26.79,-23.13,-93.2
28.02,-20.57,-95.15
32.96,-14.53,-98.63
47.3,-6.04,-107.79
51.76,-5.98,-111.63
52.43,-8.36,-112.37
49.07,-12.39,-105.22
47.97,-10.56,-104.37
49.68,-5.86,-108.76
56.88,3.17,-109.68
57.62,6.71,-109.56
51.7,2.32,-113.04
40.83,-1.59,-114.32
30.27,-3.91,-114.81
25.02,0.61,-115.97
29.3,3.97,-118.29
33.63,6.23,-119.57
37.29,5.74,-118.35
32.23,3.05,-118.29
22.28,-1.95,-118.65
18.8,-3.05,-117.37
16.17,-1.89,-115.84
17.46,7.57,-110.17
20.51,12.7,-109.68
23.19,12.76,-110.78
17.46,6.1,-115.05
13.31,2.62,-116.88
9.22,0.06,-113.71
14.47,1.16,-109.8
21.67,2.56,-105.71
24.17,5.25,-99.37
20.02,4.82,-96.56
15.62,6.1,-93.63
14.77,11.17,-92.71
17.94,13.06,-93.14
20.81,12.76,-94.67
15.5,5.98,-95.89
10.93,3.42,-96.56
12.51,2.75,-90.15
17.82,3.36,-87.65
23.86,5.8,-87.71
30.27,9.28,-89.17
30.03,9.46,-87.4
27.83,7.81,-85.33
18.8,0.49,-83.8
14.16,-2.26,-86.0
5.92,-2.62,-89.84
2.99,-2.69,-89.6
2.44,-4.46,-90.82
4.52,-8.79,-92.29
7.51,-9.46,-91.92
12.57,-8.79,-88.99
21.91,-11.41,-82.52
22.03,-14.53,-81.79
18.43,-12.27,-82.09
8.85,-7.81,-80.87
6.23,-4.76,-80.26
10.99,-1.77,-77.45
15.32,-2.32,-75.2
19.23,-4.27,-74.22
21.67,-6.47,-70.5
21.73,-5.92,-66.47
22.64,-4.46,-60.61
27.34,-4.46,-60.79
25.7,-8.79,-63.42
9.46,-21.06,-71.11
-2.56,-21.0,-72.14
-13.85,-16.36,-70.98
-22.16,-1.83,-62.87
-17.46,1.28,-58.96
-10.62,1.1,-55.24
-5.43,-2.5,-54.44
-9.7,-3.97,-58.96
-19.53,-1.46,-63.66
-17.88,-0.61,-62.38
-13.92,0.31,-57.98
-7.51,1.28,-50.23
-3.85,0.37,-47.73
-0.12,-0.98,-45.78
6.16,-6.35,-38.51
7.02,-10.31,-32.53
3.91,-13.61,-23.13
-3.54,-11.05,-18.13
-5.49,-6.04,-11.84
-9.34,4.52,-2.99
-10.99,7.81,0.0
-11.9,9.16,3.17
