aX,aY,aZ,gX,gY,gZ
0.097,-0.844,-1.647,-18.982,46.387,-47.119
0.070,-0.778,-1.528,-12.207,17.212,-34.668
0.057,-0.691,-1.248,-10.437,-11.414,-24.536
0.014,-0.653,-0.949,-6.775,-31.738,-18.433
-0.009,-0.599,-0.724,13.550,-40.344,-10.193
-0.014,-0.526,-0.589,41.931,-39.734,-1.343
0.020,-0.474,-0.552,60.120,-30.151,5.005
0.044,-0.425,-0.597,61.401,-13.428,8.667
0.064,-0.400,-0.705,50.049,3.967,10.071
0.088,-0.368,-0.848,44.312,14.954,10.315
0.111,-0.328,-0.948,50.110,15.320,10.315
0.114,-0.221,-1.002,61.584,6.653,5.432
0.118,-0.304,-0.958,55.847,-1.953,-7.629
0.124,-0.407,-0.952,35.889,-0.977,-13.733
0.146,-0.417,-1.021,25.574,6.348,-11.658
0.129,-0.426,-1.116,14.954,12.207,-9.338
0.129,-0.459,-1.183,13.367,10.498,-8.362
0.117,-0.445,-1.190,18.799,1.465,-4.639
0.119,-0.413,-1.134,26.367,-11.047,-1.099
0.131,-0.378,-1.055,33.630,-21.301,1.770
0.118,-0.337,-0.995,35.583,-25.696,4.517
0.122,-0.335,-0.959,31.677,-25.452,5.859
0.125,-0.302,-0.934,24.353,-22.705,7.751
0.125,-0.288,-0.920,20.447,-20.752,7.690
0.130,-0.287,-0.894,19.043,-19.836,6.165
0.133,-0.263,-0.859,16.357,-18.127,5.554
0.139,-0.241,-0.841,12.817,-14.404,4.089
0.145,-0.218,-0.843,6.042,-8.057,1.526
0.145,-0.207,-0.861,-5.066,-1.038,-2.319
0.144,-0.227,-0.894,-15.442,5.127,-7.324
0.139,-0.261,-0.929,-21.484,9.094,-12.024
0.135,-0.288,-0.956,-23.682,10.681,-14.954
0.120,-0.317,-0.980,-22.522,10.254,-16.479
0.270,-0.337,-0.954,-21.423,8.301,-16.846
0.136,-0.340,-0.884,-24.719,6.104,-17.395
0.088,-0.386,-0.922,-11.047,7.874,-20.081
0.061,-0.428,-0.962,-14.893,10.132,-18.311
0.072,-0.438,-0.988,-11.719,9.277,-14.465
0.077,-0.426,-0.985,-5.859,6.165,-10.437
0.091,-0.409,-0.964,-0.427,2.869,-7.812
0.084,-0.391,-0.943,0.427,1.526,-6.287
0.089,-0.377,-0.928,-0.610,2.014,-5.554
0.090,-0.372,-0.923,-0.488,3.418,-5.005
0.083,-0.370,-0.934,-0.793,4.639,-4.456
0.104,-0.369,-0.949,-2.014,5.920,-3.723
0.096,-0.361,-0.972,-0.305,5.798,-3.357
0.087,-0.358,-0.987,2.197,4.761,-2.930
0.071,-0.351,-0.983,0.977,3.296,-2.869
0.046,-0.350,-0.976,-2.319,2.197,-2.686
0.070,-0.370,-0.965,-6.165,2.136,-2.686
0.080,-0.392,-0.954,-5.371,1.770,-2.686
0.098,-0.398,-0.946,-3.906,1.892,-1.709
0.125,-0.391,-0.953,-2.930,3.174,-0.244
0.095,-0.371,-0.956,-1.648,3.967,0.549
0.111,-0.352,-0.953,1.343,3.113,0.793
0.083,-0.343,-0.949,4.150,2.136,-0.427
0.041,-0.340,-0.947,2.686,2.319,-0.854
0.034,-0.332,-0.972,-3.723,3.967,-0.549
0.086,-0.338,-0.998,-13.855,5.371,-0.854
0.100,-0.392,-0.978,-19.165,3.357,-2.380
0.089,-0.404,-0.949,-12.878,-0.122,-2.197
0.077,-0.384,-0.926,-2.869,-2.380,0.244
0.084,-0.355,-0.908,3.113,-2.869,2.014
0.307,-0.422,-0.804,5.371,-1.038,0.916
0.057,-0.386,-0.845,28.259,1.282,-1.221
-0.095,-0.275,-1.005,30.518,11.169,3.357
0.080,-0.318,-1.083,6.348,14.465,1.709
0.098,-0.401,-1.031,-5.127,4.761,-2.686
0.076,-0.421,-0.966,-0.183,-2.808,-2.136
0.064,-0.414,-0.927,4.333,-3.906,0.671
0.067,-0.394,-0.913,9.521,-2.869,3.418
0.074,-0.375,-0.925,13.794,-0.977,5.493
0.074,-0.358,-0.937,14.465,0.244,6.287
0.077,-0.344,-0.934,11.963,0.122,6.775
0.077,-0.340,-0.930,8.850,0.732,6.042
0.081,-0.336,-0.933,5.920,2.258,5.371
0.087,-0.331,-0.948,2.625,4.395,4.883
0.090,-0.341,-0.970,1.282,5.554,4.395
0.071,-0.347,-0.993,4.395,4.761,4.150
0.107,-0.341,-0.994,8.362,2.197,4.761
0.109,-0.319,-1.010,12.634,0.061,4.272
0.101,-0.297,-0.999,8.118,-1.404,3.540
0.095,-0.316,-0.976,4.272,-3.418,0.732
0.086,-0.345,-0.956,2.014,-4.028,-1.221
0.078,-0.352,-0.946,2.563,-3.906,-0.977
0.075,-0.351,-0.937,5.310,-3.967,-0.061
0.074,-0.352,-0.923,6.653,-3.845,0.671
