aX,aY,aZ,gX,gY,gZ
0.658,-0.844,-1.345,20.386,45.227,13.611
0.665,-0.811,-1.415,10.620,35.461,25.330
0.666,-0.747,-1.442,7.019,22.461,35.278
0.638,-0.779,-1.496,2.625,15.381,40.161
0.617,-0.755,-1.515,5.859,8.850,45.227
0.587,-0.606,-1.523,15.137,1.038,53.040
0.545,-0.574,-1.558,14.221,-2.075,53.528
0.520,-0.505,-1.650,12.939,-1.587,56.335
0.519,-0.337,-1.728,18.005,-1.099,60.303
0.495,-0.134,-1.778,32.227,-3.540,60.242
0.473,0.036,-1.846,47.668,-6.958,49.866
0.422,0.064,-1.902,50.903,-11.963,31.555
0.365,-0.031,-1.906,45.837,-20.203,14.526
0.314,-0.069,-1.874,37.231,-30.518,7.446
0.251,-0.043,-1.857,28.870,-40.833,5.737
0.188,0.062,-1.883,18.799,-52.795,7.141
0.116,0.209,-1.913,5.554,-70.618,6.165
0.082,0.165,-1.874,-1.343,-92.834,-2.808
0.057,0.270,-1.753,-5.066,-115.906,-12.573
0.025,0.580,-1.637,-0.061,-136.719,-14.526
-0.064,0.744,-1.470,10.986,-158.386,-35.400
-0.159,0.748,-1.209,11.475,-183.716,-71.289
-0.284,0.322,-0.828,8.484,-207.397,-112.854
-0.422,-0.129,-0.362,4.578,-226.379,-139.832
-0.575,-0.508,-0.057,-5.493,-231.812,-149.780
-0.676,-0.631,0.030,-15.747,-228.455,-148.804
-0.825,-0.577,0.028,-14.404,-231.628,-145.996
-0.943,-0.405,0.081,2.930,-245.728,-147.766
-1.117,-0.549,0.427,22.827,-278.076,-168.335
-1.274,-0.948,0.929,41.321,-316.040,-196.777
-1.354,-1.386,1.611,49.500,-348.450,-213.928
-1.241,-1.761,2.287,46.997,-365.356,-223.999
-0.949,-2.121,2.761,53.406,-348.022,-224.304
-0.519,-2.229,2.911,78.735,-298.767,-210.510
-0.152,-2.119,2.525,121.155,-229.736,-191.895
0.130,-2.175,1.689,143.372,-165.283,-179.016
0.293,-2.799,0.962,115.845,-145.935,-167.175
0.308,-3.686,0.575,52.795,-172.974,-120.178
0.271,-4.000,0.654,-28.198,-223.206,-10.254
0.224,-2.995,1.021,-104.797,-267.700,161.804
0.241,-1.129,1.418,-145.752,-284.302,319.946
0.440,0.463,1.790,-177.307,-272.461,388.672
0.271,-4.000,0.654,-28.198,-223.206,-10.254
0.224,-2.995,1.021,-104.797,-267.700,161.804
0.241,-1.129,1.418,-145.752,-284.302,319.946
0.440,0.463,1.790,-177.307,-272.461,388.672
0.648,1.339,2.222,-184.387,-245.239,368.103
0.797,1.386,2.554,-171.631,-196.472,283.630
0.836,1.126,2.562,-141.602,-122.742,187.622
0.795,0.916,2.294,-100.952,-41.199,114.929
0.704,0.518,1.889,-62.622,28.625,50.781
0.616,0.152,1.580,-39.795,76.355,2.991
0.523,-0.187,1.383,-31.982,104.126,-27.405
0.411,-0.661,1.255,-39.612,123.230,-47.668
0.300,-1.236,1.161,-53.467,134.155,-53.955
0.164,-1.651,1.139,-62.622,137.207,-38.818
0.016,-1.814,0.893,-69.214,143.799,-8.179
-0.087,-1.809,0.598,-75.256,142.578,24.414
-0.140,-1.713,0.567,-76.843,118.103,55.664
-0.172,-1.472,0.747,-81.238,86.548,83.496
-0.169,-1.132,0.804,-93.140,72.449,102.478
-0.142,-0.855,0.753,-103.394,69.397,106.140
-0.092,-0.690,0.812,-104.431,62.927,95.520
-0.068,-0.607,0.924,-100.342,57.922,78.491
-0.039,-0.571,1.053,-91.980,61.523,60.486
0.041,-0.520,1.049,-80.566,76.172,46.570
0.092,-0.490,0.914,-64.880,94.421,32.593
0.138,-0.458,0.732,-54.138,107.056,22.156
0.172,-0.486,0.563,-55.664,110.413,14.465
0.297,-0.426,0.545,-60.303,104.248,11.536
0.391,-0.364,0.564,-68.298,100.098,7.812
0.464,-0.431,0.679,-78.369,95.276,-1.282
0.527,-0.563,0.777,-89.783,98.633,-10.315
0.594,-0.641,0.796,-98.938,111.267,-16.724
0.684,-0.648,0.670,-97.717,130.737,-20.691
0.663,-0.651,0.536,-79.956,143.494,-23.499
0.653,-0.586,0.680,-58.594,145.630,-24.841
0.639,-0.562,0.587,-39.673,166.809,-29.419
0.559,-0.522,0.018,-23.254,204.102,-31.067
0.603,-0.425,-0.482,-25.085,217.712,-32.288
0.735,-0.265,-0.535,-40.100,195.984,-33.875
0.833,-0.063,-0.401,-44.617,171.692,-37.598
0.891,0.053,-0.440,-39.001,171.509,-51.331
0.813,-0.260,-0.704,-41.199,184.082,-82.703
0.662,-0.755,-0.845,-48.462,180.908,-108.093
0.698,-1.030,-1.080,-47.974,173.523,-108.643
0.718,-1.165,-1.219,-39.551,157.776,-95.642
0.757,-1.112,-1.181,-29.053,130.371,-75.378
0.750,-1.011,-1.037,-31.799,110.596,-52.551
0.715,-0.930,-1.032,-41.931,109.619,-35.217
0.681,-0.869,-1.158,-46.936,121.094,-25.024
0.677,-0.822,-1.239,-41.504,130.005,-20.935
0.617,-0.900,-1.306,-33.691,136.414,-22.827
0.538,-1.128,-1.337,-22.034,144.165,-28.748
0.420,-1.344,-1.396,-3.662,157.471,-27.344
0.253,-1.374,-1.610,13.489,174.316,-12.756
0.129,-1.202,-1.965,15.198,193.481,7.507
0.060,-1.000,-2.455,31.555,197.632,22.888
0.085,-0.736,-2.662,40.283,169.739,35.034
0.189,-0.401,-2.602,50.232,118.835,43.213
0.295,-0.172,-2.568,38.818,71.045,44.373
0.411,-0.154,-2.418,14.526,23.437,37.292
0.515,-0.253,-1.948,-2.686,-32.288,27.466
0.623,-0.453,-1.355,-7.874,-82.214,20.020
0.723,-0.644,-0.620,-7.385,-117.188,18.860
0.841,-0.677,0.152,0.000,-132.812,26.123
0.943,-0.614,0.714,12.634,-118.469,33.936
1.001,-0.487,0.916,23.865,-76.416,37.598
1.024,-0.367,0.811,28.259,-24.231,36.499
1.007,-0.257,0.538,26.245,18.188,32.959
0.977,-0.211,0.231,20.996,44.556,25.757
0.929,-0.239,-0.041,15.808,57.495,16.052
0.891,-0.336,-0.218,9.644,59.937,6.653
0.840,-0.443,-0.353,4.272,58.899,1.038
0.786,-0.543,-0.512,-1.587,59.204,-1.709
0.744,-0.664,-0.644,-6.836,57.129,-2.319
0.702,-0.754,-0.736,-8.850,51.880,0.305
0.681,-0.781,-0.765,-9.949,44.678,7.263
0.651,-0.741,-0.776,-10.681,38.025,15.625
0.646,-0.604,-0.827,-11.047,34.241,23.010
0.608,-0.500,-0.918,-11.597,31.311,25.757
0.615,-0.431,-0.971,-10.010,24.048,23.193
0.606,-0.412,-0.956,-5.615,11.963,18.311

0.563,-0.725,-1.387,88.013,5.371,-37.048
0.563,-0.782,-1.395,96.680,6.226,-35.767
0.570,-0.777,-1.379,99.121,6.653,-32.898
0.580,-0.701,-1.340,94.666,6.836,-27.832
0.548,-0.729,-1.301,86.548,6.897,-27.405
0.510,-0.781,-1.306,74.158,10.254,-27.283
0.477,-0.683,-1.366,65.674,14.221,-21.301
0.420,-0.531,-1.432,61.646,14.404,-16.602
0.358,-0.382,-1.507,58.716,10.132,-18.372
0.303,-0.208,-1.587,52.979,3.296,-23.987
0.221,-0.099,-1.685,46.082,-7.080,-33.997
0.096,-0.117,-1.804,36.194,-22.400,-48.462
-0.026,-0.247,-1.850,25.757,-46.631,-62.988
-0.136,-0.353,-1.852,25.513,-77.087,-72.754
-0.240,-0.252,-1.748,25.696,-110.962,-73.975
-0.379,-0.369,-1.723,37.231,-140.747,-89.966
-0.485,-0.479,-1.586,51.758,-174.194,-107.849
-0.621,-0.721,-1.382,73.303,-210.693,-121.277
-0.714,-0.970,-0.972,98.511,-249.878,-132.446
-0.793,-1.162,-0.469,119.873,-286.621,-137.390
-0.882,-1.131,-0.162,132.874,-303.528,-134.705
-0.973,-1.029,0.031,138.855,-312.561,-131.348
-1.123,-1.131,0.223,139.526,-330.200,-139.648
-1.257,-1.294,0.463,139.648,-358.398,-150.696
-1.437,-1.448,0.835,145.020,-393.982,-155.640
-1.584,-1.848,1.480,152.649,-436.035,-160.339
-1.583,-2.554,2.469,163.696,-482.361,-169.006
-1.281,-3.235,3.503,169.128,-499.634,-164.917
-0.664,-3.385,3.924,138.977,-444.031,-128.479
-0.110,-2.764,2.982,98.083,-317.749,-55.420
0.170,-2.146,1.613,72.937,-223.206,12.573
0.463,-1.853,1.082,42.053,-230.713,58.350
0.724,-1.546,1.508,15.747,-295.227,112.732
0.921,-1.113,2.033,-23.926,-331.726,177.612
1.087,-0.568,2.593,-79.529,-326.416,236.877
1.117,0.384,3.056,-117.188,-287.659,285.645
1.021,1.541,3.064,-132.263,-213.562,301.208
0.969,2.215,2.653,-146.301,-115.601,249.329
0.958,2.126,2.334,-132.996,-35.278,142.639
0.895,1.755,2.316,-94.360,14.771,27.466
0.724,1.056,2.371,-59.998,61.218,-63.538
0.485,0.374,2.172,-42.725,120.667,-130.493
0.259,-0.347,1.878,-37.170,174.255,-170.471
0.036,-1.178,1.654,-38.696,204.285,-193.054
-0.124,-2.048,1.393,-46.814,218.689,-191.833
-0.182,-2.805,1.087,-64.209,221.252,-162.537
-0.225,-3.141,0.793,-90.637,209.412,-102.783
-0.240,-2.917,0.480,-123.657,185.303,-23.193
-0.248,-2.360,0.365,-155.640,143.921,44.922
-0.275,-1.838,0.549,-182.983,93.933,83.191
-0.241,-1.336,0.936,-207.397,54.138,97.351
-0.098,-0.768,1.281,-215.210,39.673,95.825
0.079,-0.268,1.522,-203.979,50.354,73.853
0.180,-0.078,1.633,-174.988,81.177,30.090
0.226,-0.185,1.577,-138.794,125.122,-21.790
0.230,-0.326,1.356,-103.149,172.791,-62.988
0.182,-0.431,0.933,-77.881,219.177,-87.341
0.137,-0.652,0.416,-65.491,253.479,-104.187
0.131,-0.978,-0.036,-62.622,267.395,-113.220
0.183,-1.248,-0.322,-62.195,259.705,-108.032
0.252,-1.440,-0.456,-63.354,239.624,-91.919
0.382,-1.447,-0.526,-62.439,216.858,-69.763
0.446,-1.300,-0.494,-60.120,194.214,-46.265
0.499,-1.085,-0.454,-60.486,178.589,-27.954
0.036,-1.178,1.654,-38.696,204.285,-193.054
-0.124,-2.048,1.393,-46.814,218.689,-191.833
-0.182,-2.805,1.087,-64.209,221.252,-162.537
-0.225,-3.141,0.793,-90.637,209.412,-102.783
-0.240,-2.917,0.480,-123.657,185.303,-23.193
-0.248,-2.360,0.365,-155.640,143.921,44.922
-0.275,-1.838,0.549,-182.983,93.933,83.191
-0.241,-1.336,0.936,-207.397,54.138,97.351
-0.098,-0.768,1.281,-215.210,39.673,95.825
0.079,-0.268,1.522,-203.979,50.354,73.853
0.180,-0.078,1.633,-174.988,81.177,30.090
0.226,-0.185,1.577,-138.794,125.122,-21.790
0.230,-0.326,1.356,-103.149,172.791,-62.988
0.182,-0.431,0.933,-77.881,219.177,-87.341
0.137,-0.652,0.416,-65.491,253.479,-104.187
0.131,-0.978,-0.036,-62.622,267.395,-113.220
0.183,-1.248,-0.322,-62.195,259.705,-108.032
0.252,-1.440,-0.456,-63.354,239.624,-91.919
0.382,-1.447,-0.526,-62.439,216.858,-69.763
0.446,-1.300,-0.494,-60.120,194.214,-46.265
0.499,-1.085,-0.454,-60.486,178.589,-27.954
-0.147,-1.021,-2.885,12.329,173.889,10.437
-0.042,-0.807,-2.736,-20.874,98.694,43.457
0.094,-0.482,-2.471,-38.269,31.067,66.589
0.204,-0.224,-1.965,-42.908,-24.170,72.266
0.335,-0.077,-1.406,-37.964,-61.646,63.293
0.429,-0.069,-0.965,-27.588,-75.745,46.326
0.490,-0.204,-0.643,-13.062,-74.585,26.001
0.510,-0.409,-0.394,-0.305,-67.200,9.521
0.506,-0.615,-0.218,5.005,-54.382,0.977
0.514,-0.708,-0.082,6.714,-39.246,1.709
0.536,-0.630,-0.004,11.230,-22.949,8.118
0.561,-0.473,-0.081,13.916,-2.991,13.123
0.595,-0.318,-0.261,11.902,14.160,12.878
0.620,-0.236,-0.446,8.484,22.339,7.507
0.622,-0.277,-0.600,4.028,22.095,-2.380
0.619,-0.450,-0.639,-0.244,13.611,-13.000
0.607,-0.610,-0.572,-4.211,1.526,-18.066
0.592,-0.727,-0.468,-8.362,-6.775,-15.930
0.574,-0.746,-0.409,-10.498,-8.911,-9.094
0.575,-0.679,-0.416,-10.376,-6.042,-2.136
0.572,-0.621,-0.447,-8.240,-2.319,1.465
0.577,-0.613,-0.480,-5.432,0.000,0.610
0.578,-0.653,-0.550,-2.747,2.563,-1.709
0.572,-0.710,-0.638,-1.160,3.540,-3.174
0.568,-0.767,-0.687,-1.587,-0.183,-3.052
0.573,-0.805,-0.681,-4.456,-7.141,-1.404
0.579,-0.828,-0.670,-9.216,-14.099,2.319
0.579,-0.826,-0.682,-14.282,-19.409,7.141
0.594,-0.796,-0.644,-16.479,-26.123,12.390
0.605,-0.772,-0.512,-14.221,-33.936,16.357
0.627,-0.758,-0.335,-10.437,-38.269,18.982
0.644,-0.697,-0.225,-6.958,-34.119,21.912
