aX,aY,aZ,gX,gY,gZ
0.285,1.504,1.340,24.231,-45.166,87.341
0.234,1.443,1.482,49.255,-45.532,63.538
0.193,1.342,1.576,36.316,-31.799,33.325
0.156,1.236,1.457,-12.756,2.075,-0.610
0.072,1.099,1.067,-60.486,43.457,-35.950
-0.033,0.892,0.657,-80.811,58.838,-68.359
-0.131,0.690,0.464,-80.078,34.668,-88.928
-0.194,0.507,0.426,-52.856,-4.395,-98.206
-0.294,0.411,0.483,-8.423,-43.823,-93.506
-0.431,0.372,0.662,36.682,-82.153,-83.862
-0.524,0.325,0.951,65.125,-113.098,-79.407
-0.597,0.215,1.203,73.181,-124.939,-81.970
-0.651,0.091,1.372,64.636,-117.004,-84.045
-0.669,0.037,1.464,49.133,-97.595,-78.369
-0.661,0.078,1.524,35.706,-76.904,-64.331
-0.624,0.196,1.558,28.320,-57.129,-48.462
-0.548,0.345,1.503,27.954,-35.645,-37.720
-0.472,0.494,1.350,26.611,-12.085,-35.339
-0.439,0.590,1.158,15.198,6.775,-41.870
-0.425,0.602,1.008,0.977,16.846,-54.260
-0.413,0.576,0.917,-7.507,18.982,-65.857
-0.404,0.584,0.862,-10.986,17.883,-71.716
-0.422,0.596,0.823,-9.216,15.015,-75.256
